,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
8,-107.9147121,40.0499846,1144.0,Michael Circle,,MEEKER,,,0.0,,e8d3c799a907a033
9,-107.9183552,40.043927,795.0,Pine Street,,MEEKER,,,81641.0,,e1e679512493c1a0
0,-112.3118135,38.6790972,14050.0,S 600  E,,,,UT,84637.0,,e8fb806ce14a2344
1,-112.2949251,38.6843863,13850.0,S 1250  E,,,,UT,84637.0,,da971f86c5d79619
2,-112.2543094,39.960805,6392.0,S POWELL SPRING RD,,LOFGREN,,UT,84080.0,17-015-0-0001,d7377d9380339f19
3,-112.3680371,39.9721995,6771.0,S VERNON RESERVOIR RD,,VERNON,,UT,84080.0,07-077-0-0002,4ede82f68081d018
4,-112.619309,39.9921864,18035.0,S GOVERNMENT CREEK RD,,,,UT,84080.0,07-061-0-0009,3dfd8b5dfb67c9d2
5,-112.3986107,40.0057956,1436.0,E GREENJACKET RD,,VERNON,,UT,84080.0,07-054-0-0001,2b0db98671794590
6,-112.2797863,40.0150599,4206.0,S HIGHWAY 36,,LOFGREN,,UT,84080.0,07-045-0-0015,a62119a4fa024834
7,-112.2843951,40.0215165,3742.0,S HIGHWAY 36,,LOFGREN,,UT,84080.0,07-045-0-0023,8771c65340c3b826
8,-112.2929882,40.031904,3048.0,S HIGHWAY 36,,LOFGREN,,UT,84080.0,07-045-0-0017,e4d94c3c6669b23f
9,-112.283519,40.0455123,2781.0,S HIGHWAY 36,,LOFGREN,,UT,84080.0,07-043-0-0002,fd3b69075e66c2c4
0,-108.0511124,35.6393989,0.0,BORREGO PASS ROAD RD,,CROWNPOINT,,,,,8531d5b2220d9607
1,-106.6077836,35.3133487,6305.0,NE HADLEY CT NE,,RIO RANCHO,,,,,a16df3175ef94a23
2,-106.7839194,34.6849937,1412.0,MESA,,BELEN,,,,,ffa6b64351116d51
3,-106.6755321,34.8017138,13.0,MARIPOSA,,LOS LUNAS,,,,,9e41e57f4e62558a
4,-104.2343229,32.4187754,205.0,S MESQUITE ST,,CARLSBAD,,,,,be91067f4f042921
5,-108.216921,35.4030977,10.0,FRONTIER STREET ST,,THOREAU,,,,,375fd284323be113
6,-106.6529993,35.2357842,4132.0,SE JACKIE RD SE,,RIO RANCHO,,,,,815b66cee9707315
7,-106.6889422,35.2692384,2316.0,NE ESCUDO RD NE,,RIO RANCHO,,,,,907178a8777ce996
8,-106.6758691,35.2581275,3161.0,SE ASHKIRK LOOP SE,,RIO RANCHO,,,,,80ee3f7c09363fba
9,-106.7299403,34.6350375,1612.0,TOMMY ARMOUR,,BELEN,,,,,c63e6f8fe5ca43fc
0,-105.4147466,41.3038513,,,,,,,,,83468c4a32408839
1,-105.584445,41.2638716,1019.0,HOWE RD,,,,,,,7901f5eeeafe8d2d
2,-105.7472965,41.8304801,,MED BOW PH3 TR81A,,,,,,,f8e20ed8fd1837d4
3,-105.5069271,41.381652,,,,,,,,,23c7c8ec1b420940
4,-105.577091,41.287299,,,,,,,,,0a701cbd11c32485
5,-105.4893349,41.2077524,,,,,,,,,c368876086f6dd61
6,-106.2356362,41.1973929,549.0,LANKFORD RNKER ACRES RD,,,,,,,7df7d067a48a0ac6
7,-105.4929154,41.4153776,,,,,,,,,738301861995a1d0
8,-105.4518339,41.4078931,,,,,,,,,00f4f7cc871f27ee
9,-105.5623971,41.3256668,2618.0,KNADLER ST,,,,,,,a2e7d936693802b2
0,-106.6254563,45.8821086,303.0,WILLOW AVE,,COLSTRIP,,MT,59323.0,,122b47be480b8e22
1,-105.8217134,46.4086812,4.0,N HAYNES AVE,,MILES CITY,,MT,59301.0,,9c7ed5173606129c
2,-111.8934502,48.5016691,50.0,CROSSROADS DR,,SHELBY,,MT,59474.0,,797f7a63ced8c4a6
3,-112.9540954,46.1228097,800.0,S OAK ST,,ANACONDA,,MT,59711.0,,dc6c3a9f116269fd
4,-115.5541571,48.3913326,512.0,CALIFORNIA AVE,,LIBBY,,MT,59923.0,,5f91fea2c49e7904
5,-112.7777356,46.2347364,360.0,GALEN ST,,DEER LODGE,,MT,59722.0,,c48843a3f45de22d
6,-105.8209521,46.4077412,4.0,N HAYNES AVE,,MILES CITY,,MT,59301.0,,6508480e2456342d
7,-105.8214694,46.4074836,4.0,N HAYNES AVE,,MILES CITY,,MT,59301.0,,0f86a2c8bf92db6c
8,-104.5749477,48.9972487,1519.0,HIGHWAY 16 N,,RAYMOND,,MT,59256.0,,4ef9bc25be65d3a2
9,-115.0572614,48.9979797,7915.0,US HIGHWAY 93 N,,EUREKA,,MT,59917.0,,e5e04d0185bbfeba
